BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t50,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7284.0,-0.0,-7284.0,5364.0,0.0,-0.0,0.0,0.0,0.0,0.0,-3284.0,-0.0,-2080.0,4993.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-993.0
t51,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7110.0,-0.0,-7110.0,5560.256421401382,0.0,-0.0,0.0,0.0,0.0,0.0,-3529.256421401382,-0.0,-2031.0,4549.743578598618,0.0,-0.0,0.0,0.0,0.0,0.0,-3580.743578598618,-0.0,-969.0
t52,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7082.0,-0.0,-7082.0,5957.4456222456865,0.0,-0.0,0.0,0.0,0.0,0.0,-3934.4456222456865,-0.0,-2023.0,4112.5543777543135,0.0,-0.0,0.0,0.0,0.0,0.0,-3147.5543777543135,-0.0,-965.0
t53,0.0,193.26351802185172,-0.0,0.0,0.0,0.0,0.0,7072.736481978149,-0.0,-7266.0,6099.981412347324,0.0,-0.0,0.0,0.0,0.0,0.0,-4024.9814123473243,-0.0,-2075.0,4037.755069630824,0.0,-0.0,0.0,0.0,0.0,0.0,-3047.755069630824,-0.0,-990.0
t54,0.0,3650.1584284223236,-0.0,0.0,0.0,0.0,0.0,4290.841571577676,-0.0,-7941.0,3472.887734131804,0.0,-0.0,0.0,0.0,0.0,0.0,-1204.8877341318039,-0.0,-2268.0,4168.9538374458725,0.0,-0.0,0.0,0.0,0.0,0.0,-3085.9538374458725,-0.0,-1083.0
t55,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9190.0,-0.0,-9190.0,2854.2196087317006,5670.780391268299,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2625.0,4006.65671617906,536.3432838209401,-0.0,0.0,0.0,0.0,0.0,-3290.0,-0.0,-1253.0
t56,0.0,6696.1347376972235,-0.0,0.0,0.0,0.0,0.0,3238.8652623027774,-0.0,-9935.0,3169.572652646749,0.0,-0.0,0.0,0.0,0.0,0.0,-332.5726526467488,-0.0,-2837.0,4260.292609656029,0.0,-0.0,0.0,0.0,0.0,0.0,-2906.2926096560286,-0.0,-1354.0
t57,4333.227232155916,0.0,-0.0,0.0,0.0,0.0,0.0,5811.772767844084,-0.0,-10145.0,7415.07237688793,0.0,-0.0,0.0,0.0,0.0,0.0,-4518.07237688793,-0.0,-2897.0,2676.7003909561545,0.0,-0.0,0.0,0.0,0.0,0.0,-1293.7003909561545,-0.0,-1383.0
t58,11873.272495535972,0.0,-6184.272495535972,0.0,0.0,0.0,0.0,4510.0,-0.0,-10199.0,8813.0,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2913.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1390.0,-0.0,-1390.0
t59,17095.36685223669,0.0,-0.0,0.0,0.0,0.0,0.0,-6882.36685223669,-0.0,-10213.0,0.0,0.0,-2572.3668522366897,0.0,0.0,0.0,0.0,5489.36685223669,-0.0,-2917.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1393.0,-0.0,-1393.0
