Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
