BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t65,4989.6893337762185,0.0,-0.0,0.0,0.0,0.0,0.0,6868.3106662237815,-0.0,-11858.0,11689.287106101043,0.0,-2403.287106101043,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3386.0,2584.3106662237815,0.0,-0.0,0.0,0.0,0.0,0.0,-968.3106662237815,-0.0,-1616.0
t66,0.0,2896.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-12796.0,2554.948364363555,6999.051635636445,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3654.0,5745.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1745.0
t67,0.0,2921.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-12821.0,2586.405694323541,6974.594305676459,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3661.0,5748.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1748.0
t68,0.0,2705.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-12605.0,2477.9101705967046,7022.089829403296,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3600.0,5719.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1719.0
t69,0.0,2295.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-12195.0,2586.405694323541,6796.594305676459,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3483.0,5663.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1663.0
t70,0.0,1576.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-11476.0,2577.322480647212,6599.677519352788,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3277.0,5565.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1565.0
t71,0.0,615.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-10515.0,2580.538295926466,6322.461704073534,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3003.0,5434.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1434.0
t72,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9674.0,-0.0,-9674.0,2578.7910262820146,5858.208973717985,-0.0,0.0,0.0,0.0,0.0,-5674.0,-0.0,-2763.0,5319.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1319.0
t73,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9151.0,-0.0,-9151.0,2586.405694323541,5178.594305676459,-0.0,0.0,0.0,0.0,0.0,-5151.0,-0.0,-2614.0,5247.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1247.0
t74,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8876.0,-0.0,-8876.0,2583.966856006107,4827.033143993893,-0.0,0.0,0.0,0.0,0.0,-4876.0,-0.0,-2535.0,5210.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1210.0
t75,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8736.0,-0.0,-8736.0,2495.363598318797,4735.636401681203,-0.0,0.0,0.0,0.0,0.0,-4736.0,-0.0,-2495.0,5191.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1191.0
t76,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8752.0,-0.0,-8752.0,2403.611740863417,4847.388259136584,-0.0,0.0,0.0,0.0,0.0,-4752.0,-0.0,-2499.0,5193.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1193.0
t77,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8990.0,-0.0,-8990.0,2343.878054751591,5214.121945248409,-0.0,0.0,0.0,0.0,0.0,-4990.0,-0.0,-2568.0,5226.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1226.0
t78,0.0,6419.751867927436,-0.0,0.0,0.0,0.0,0.0,3313.248132072564,-0.0,-9733.0,2093.248132072564,0.0,-0.0,0.0,0.0,0.0,0.0,686.7518679274358,-0.0,-2780.0,5327.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1327.0
t79,0.0,1184.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-11084.0,1685.897178068494,7380.102821931506,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3166.0,5511.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1511.0
