BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.340247825844384e7,8.49355445874415e6,-1.0034917838780902e7,0.0,0.0,0.0,0.0,3.063319912159286e7,0.0,-8.2494314e7,4.7948515484941944e7,2.406755339644212e7,-2.8435200137573138e7,0.0,0.0,0.0,0.0,-2.001679274381089e7,0.0,-2.3564076e7,2.2114734880385228e7,1.3892284049704694e6,-1.6413379075738043e6,0.0,0.0,0.0,0.0,-1.0616406377781883e7,0.0,-1.1246219e7
t63,20031.546384467143,0.0,-8043.039163169827,0.0,0.0,0.0,0.0,-1139.5072212973164,-0.0,-10849.0,29715.390282638313,0.0,-26277.89750393563,0.0,0.0,0.0,0.0,-339.4927787026836,-0.0,-3098.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1479.0,-0.0,-1479.0
t64,13760.769781916835,0.0,-0.0,0.0,0.0,0.0,0.0,-2761.769781916835,-0.0,-10999.0,1878.2302180831648,0.0,-0.0,0.0,0.0,0.0,0.0,1262.7697819168352,-0.0,-3141.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1499.0,-0.0,-1499.0
t65,4989.689333776245,0.0,-0.0,0.0,0.0,0.0,0.0,6868.310666223755,-0.0,-11858.0,11689.287106101045,0.0,-2403.2871061010446,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3386.0,2584.310666223755,0.0,-0.0,0.0,0.0,0.0,0.0,-968.3106662237551,-0.0,-1616.0
t66,0.0,2896.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-12796.0,2554.948364363543,6999.051635636457,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3654.0,5745.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1745.0
t67,0.0,2921.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-12821.0,2586.4056943235287,6974.594305676472,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3661.0,5748.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1748.0
t68,0.0,2705.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-12605.0,2477.9101705966928,7022.089829403307,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3600.0,5719.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1719.0
t69,0.0,2295.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-12195.0,2586.4056943235287,6796.594305676472,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3483.0,5663.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1663.0
t70,0.0,1576.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-11476.0,2577.3224806472,6599.6775193528,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3277.0,5565.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1565.0
t71,0.0,615.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-10515.0,2580.538295926454,6322.461704073547,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3003.0,5434.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1434.0
t72,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9674.0,-0.0,-9674.0,2578.7910262820023,5858.208973717998,-0.0,0.0,0.0,0.0,0.0,-5674.0,-0.0,-2763.0,5319.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1319.0
t73,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9151.0,-0.0,-9151.0,2586.4056943235287,5178.594305676472,-0.0,0.0,0.0,0.0,0.0,-5151.0,-0.0,-2614.0,5247.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1247.0
