Time_Index,Demand_MW_z1
2045,96362
2046,105190
2047,115779
2048,121159
2049,122711
2050,125585
2051,128493
2052,131036
2053,134069
2054,137341
2055,140606
2056,143662
2057,145740
2058,145818
2059,144589
2060,145021
2061,144435
2062,136410
2063,124316
2064,112930
2065,103887
2066,98833
2067,95983
2068,95453
2069,98129
2070,106736
2071,116674
2072,121438
2073,123146
2074,126323
2075,130004
2076,133651
2077,137669
2078,141676
2079,145394
2080,148112
2081,150083
2082,149723
2083,148128
2084,147556
2085,146574
2086,138342
2087,126189
2088,114129
2089,104947
2090,98970
2091,96041
2092,94791
2093,96712
2094,105012
2095,114657
2096,120143
2097,123180
2098,127827
2099,133187
2100,138438
2101,143690
2102,148348
2103,152163
2104,154308
2105,155660
2106,154517
2107,151593
2108,150296
2109,148768
2110,140083
2111,127868
2112,115075
2113,105735
2114,99502
2115,96080
2116,94640
2117,96751
2118,103700
2119,112932
2120,119107
2121,122837
2122,127158
2123,131935
2124,136310
2125,140756
2126,144755
2127,147814
2128,149058
2129,148448
2130,145014
2131,141364
2132,140242
2133,139204
2134,132819
2135,123652
2136,113738
2137,105414
2138,99527
2139,95905
2140,93759
2141,93477
2142,95808
2143,99705
2144,105464
2145,112933
2146,120740
2147,126640
2148,130881
2149,133682
2150,135402
2151,135809
2152,135812
2153,137008
2154,136808
2155,135501
2156,134582
2157,134401
2158,128658
2159,119969
2160,110307
2161,101977
2162,96207
2163,92577
2164,90533
2165,90237
2166,91762
2167,94614
2168,99715
2169,107395
2170,115117
2171,120254
2172,125096
2173,130733
2174,136089
2175,140615
2176,144613
2177,147367
2178,148144
2179,146533
2180,145240
2181,143797
2182,136553
2183,125427
2184,113953
2185,104839
2186,99043
2187,95769
2188,94982
2189,97716
2190,105505
2191,115094
2192,121847
2193,126622
2194,132906
2195,139771
2196,146310
2197,152841
2198,159059
2199,163774
2200,167539
2201,168943
2202,168206
2203,163927
2204,162016
2205,158989
2206,148707
2207,134726
2208,121742
2209,111432
2210,104627
2211,100245
2212,98710
2213,100195
2214,108021
2215,117077
2216,123569
2217,127031
2218,132184
2219,138388
2220,144572
2221,151079
2222,157054
2223,162380
2224,165546
2225,167053
2226,165181
2227,162017
2228,159811
2229,157456
2230,148094
2231,134568
2232,121380
2233,111089
2234,104716
2235,100857
2236,99200
2237,100906
2238,108482
2239,117072
2240,123059
2241,127552
2242,133712
2243,140138
2244,146888
2245,153283
2246,159059
2247,164140
2248,167078
2249,168569
2250,166896
2251,163063
2252,159591
2253,156526
2254,147801
2255,135057
2256,121821
2257,111500
2258,105012
2259,101115
2260,99323
2261,101335
2262,108557
2263,117436
2264,123021
2265,126745
2266,131840
2267,136890
2268,141497
2269,145378
2270,148347
2271,150599
2272,151652
2273,151762
2274,149868
2275,146336
2276,144213
2277,142370
2278,135916
2279,125272
2280,114467
2281,105875
2282,100385
2283,96836
2284,95418
2285,96881
2286,102312
2287,109444
2288,116137
2289,122322
2290,128137
2291,131641
2292,132953
2293,133291
2294,133286
2295,133452
2296,134038
2297,134595
2298,133686
2299,130449
2300,129212
2301,129192
2302,125110
2303,117126
2304,108589
2305,101213
2306,96673
2307,93813
2308,92822
2309,93696
2310,96991
2311,101251
2312,106534
2313,112881
2314,117492
2315,119770
2316,120626
2317,120688
2318,121143
2319,121724
2320,122915
2321,124117
2322,124374
2323,123777
2324,124095
2325,125147
2326,121021
2327,113258
2328,104692
2329,96976
2330,92045
2331,89166
2332,88085
2333,88611
2334,90817
2335,94677
2336,99927
2337,107469
2338,112050
2339,113478
2340,114209
2341,116065
2342,117538
2343,119473
2344,121343
2345,122759
2346,122958
2347,121742
2348,123066
2349,125296
2350,120352
2351,110774
2352,101158
2353,93874
2354,89857
2355,87944
2356,87962
2357,91534
2358,99489
2359,109460
2360,116386
2361,120292
2362,124261
2363,128239
2364,131259
2365,133942
2366,136917
2367,139860
2368,142290
2369,144188
2370,144238
2371,141809
2372,141727
2373,141277
2374,133471
2375,121498
2376,109644
2377,101071
2378,95855
2379,92759
2380,92689
2381,95828
2382,104486
2383,114484
2384,120866
2385,123665
2386,126581
2387,129960
2388,132950
2389,136298
2390,139366
2391,142102
2392,144495
2393,145793
2394,144679
2395,142464
2396,142621
2397,142865
2398,135480
2399,123597
2400,112093
2401,104164
2402,99175
2403,96720
2404,96134
2405,99229
2406,107819
2407,118016
2408,124022
2409,126721
2410,129113
2411,131646
2412,133729
2413,135996
2414,138224
2415,139922
2416,141188
2417,142547
2418,142558
2419,140974
2420,141512
2421,141929
2422,136087
2423,125779
2424,115391
2425,108185
2426,104329
2427,102645
2428,103139
2429,107066
2430,116457
2431,127205
2432,132639
2433,133455
2434,133409
2435,133561
2436,133645
2437,134200
2438,135536
2439,136637
2440,137337
2441,137657
2442,137292
2443,136237
2444,137102
2445,138478
2446,133260
2447,123782
2448,113393
2449,106101
2450,102291
2451,100470
2452,100829
2453,104883
2454,113854
2455,124209
2456,129779
2457,130831
2458,131539
2459,132366
2460,132831
2461,133389
2462,134481
2463,135368
2464,136811
2465,137335
2466,136585
2467,134249
2468,133627
2469,133520
2470,128901
2471,120641
2472,111175
2473,103850
2474,98857
2475,95917
2476,95193
2477,95906
2478,99053
2479,103477
2480,108303
2481,114035
2482,119445
2483,122617
2484,124221
2485,125216
2486,126270
